query,title,price,shipping_time,shipping_price,returns,ebay_article_id,prod_url,related_products,ebay_vendor,reviews,category,subcategory,product_state,product_sold_out_text
iphone 12,Apple iPhone 12 5G 128GB NUOVO Originale Smartphone iOS 14 Black ,779.9,vie. 2 jul. y el mar. 3 ago.,"9,90 EUR","reembolso de 30 días, el comprador paga los gastos de envío de la devolución",133559765981,https://www.ebay.es/itm/133559765981?hash=item1f18c84bdd%3Ag%3A6AEAAOSwsgtfmasC&LH_BIN=1,"<ul>
			<li class=""rtxt"">Más para ver:</li>
			<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/M%C3%B3viles-y-smartphones-Apple-Apple-iPhone-SE-con-iOS/9355/bn_7117409678"">Móviles y smartphones Apple Apple iPhone SE con iOS</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/M%C3%B3viles-y-smartphones-Apple-iPhone-X-con-iOS/9355/bn_88985379"">Móviles y smartphones Apple iPhone X con iOS</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/M%C3%B3viles-y-smartphones-Apple-Apple-iPhone-3GS-con-iOS/9355/bn_7117404484"">Móviles y smartphones Apple Apple iPhone 3GS con iOS</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/M%C3%B3viles-y-smartphones-Apple-Apple-iPhone-3G-con-iOS/9355/bn_7117405864"">Móviles y smartphones Apple Apple iPhone 3G con iOS</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/M%C3%B3viles-y-smartphones-Apple-iPhone-XS-con-iOS/9355/bn_7109830462"">Móviles y smartphones Apple iPhone XS con iOS</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/M%C3%B3viles-y-smartphones-Apple-iPhone-4-con-iOS/9355/bn_89868480"">Móviles y smartphones Apple iPhone 4 con iOS</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/Apple-iPhone-12/9355/bn_7117588349"">Apple iPhone 12</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/M%C3%B3viles-y-smartphones-Apple-iPhone-7-Plus-con-iOS/9355/bn_75371308"">Móviles y smartphones Apple iPhone 7 Plus con iOS</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/M%C3%B3viles-y-smartphones-Apple-iPhone-8-Plus-con-iOS/9355/bn_88983778"">Móviles y smartphones Apple iPhone 8 Plus con iOS</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/M%C3%B3viles-y-smartphones-rojos-Apple-iPhone-6-con-iOS/9355/bn_91494424"">Móviles y smartphones rojos Apple iPhone 6 con iOS</a></li>
				</ul>",eshopping.srl,,Movilesytelefonia,,Nuevo,
iphone 8 plus,iPhone 8 / 8 PLUS 64GB 256GB A1897 A1905 Grado A+ Fatturabile NO RICONDIZIONATO,169.0,jue. 1 jul. y el lun. 2 ago.,"20,00 EUR","reembolso de 30 días, el comprador paga los gastos de envío de la devolución",384050938155,https://www.ebay.es/itm/384050938155?_trkparms=ispr%3D1&hash=item596b38412b%3Ag%3AwtkAAOSw3dBgWIOi&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSQuF9OYLb3wphIAOfpJK8RoLYiitd5YxqdZc03X4t533pRNmTZBQOv%252Fevu7uqAomkgPeZpgR5t1%252FktAuJ1ZfWxqI8723%252FDvX%252BML7DRN18iqjlPdqDPUVdSk5vcoxqfV%252BJwkLXp71Ngoydc5c2ZrqrcLVLaH%252BR1YMt12%252FxC%252B0O2ESp%252FvhJc5ssh6xLpfbP9noq%252BQSF47%252F18W3pBExxrtRhJYyKXekIAN82Gd7X%252F6NBk%252BAwViefvabIXY1f%252FUb6gKe9b%252BGfSHfybhHx%252BcdcSL4G7vpNm2EOnaXHj8fdxhmQbR6Fd5Yo1KrKs6JTC8MjOvejBkd3Zw8mC7MSP8RnX1aatV16XpbvLWFRpid%252BqpuDTGo9cqvwuxctDr5xT%252BWD5vTU5kn7LZOnS9rRmPRa2ifRUtaWkD1GQBxmBbeuRrHUCh8%252Ft317tyZxVSlVLNoMgPTSIh%252FM%252BeTPPRKpgS7XsKXBET8mGsrzgDwjpKJ%252B%252FOXsklEbyi2I7lFe8oi1zxN2N65lDrGririIOeYiRylbU1WYTmK2HqmxRedhZaC1%252FhgEgsfGJHOM61%252B9MXnxCd5C59rJEnEWQR0zw6acbsET8zvSUpICCGOgfFSsKgGHQe%252FJCEArTzM0Kt9mUZpYT64u1DLGIJAonUzuG5soar2IVYMtgczuc927vJNtc%252BithptYUQJJYX42bKAwOIkwwkZ1prrk9tMBQvI3rlLIC7FfIyIZ5Lsw%252FWatKp1fWpFQ3RFamyZpOod%252B%252BHI19ypMmS3KGIGI2PVd2q%252FXyvlqYu9NZOQjvpa4Or6haBCCxtideHglwJAxb7%252BbmKJpUfTCLRaqKRgX%7Campid%3APL_CLK%7Cclp%3A2334524&LH_BIN=1,"<ul>
			<li class=""rtxt"">Más para ver:</li>
			<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/M%C3%B3viles-y-smartphones-iPhone-8-con-256GB-de-almacenaje/9355/bn_88985411"">Móviles y smartphones iPhone 8 con 256GB de almacenaje</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/Recambios-para-iPhone-8-Plus/43304/bn_88952575"">Recambios para iPhone 8 Plus</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/iPhone-8-Plus-plata/9355/bn_89868570"">iPhone 8 Plus plata</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/iPhone-8-Plus-rojos/9355/bn_7017094672"">iPhone 8 Plus rojos</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/Recambios-para-iPhone-8-Plus/43304/bn_88952610"">Recambios para iPhone 8 Plus</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/M%C3%B3viles-y-smartphones-Apple-iPhone-8-Plus/9355/bn_85260061"">Móviles y smartphones Apple iPhone 8 Plus</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/iPhone-8-Plus-3-GB/9355/bn_96874566"">iPhone 8 Plus 3 GB</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/Fundas-y-carcasas-transparentes-para-Apple-iPhone-8-Plus/20349/bn_88948840"">Fundas y carcasas transparentes para Apple iPhone 8 Plus</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/Accesorios-Para-Apple-iPhone-8-Plus-para-tel%C3%A9fonos-m%C3%B3viles-y-PDAs/9394/bn_7114935059"">Accesorios Para Apple iPhone 8 Plus para teléfonos móviles y PDAs</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/Bater%C3%ADas-Para-Apple-iPhone-8-Plus-para-tel%C3%A9fonos-m%C3%B3viles-y-PDAs/20357/bn_7017195147"">Baterías Para Apple iPhone 8 Plus para teléfonos móviles y PDAs</a></li>
				</ul>",itdream_shop,,Movilesytelefonia,,Usado,
xiaomi redmi note 8 pro,XIAOMI REDMI NOTE 10 PRO 64/128GB. 6GB RAM. SNAPDRAGON 732G . ¡VERSION ESPAÑOL!,244.95,jue. 01 jul. ,Rápido y gratis,"reembolso de 30 días, el vendedor paga el envío de la devolución",224388431065,https://www.ebay.es/itm/224388431065?hash=item343e97bcd9%3Ag%3AtXIAAOSwt5ZgUfX2&LH_BIN=1,"<ul>
			<li class=""rtxt"">Más para ver:</li>
			<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/M%C3%B3viles-y-smartphones-Xiaomi-6GB-con-128GB-de-almacenaje/9355/bn_88984047"">Móviles y smartphones Xiaomi 6GB con 128GB de almacenaje</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/Pantalla-tactil-xiaomi-redmi-note-3-pro/43304/bn_7005611682"">Pantalla tactil xiaomi redmi note 3 pro</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/Recambios-Para-Xiaomi-Redmi-Note-3-Pro-para-tel%C3%A9fonos-m%C3%B3viles-Xiaomi/43304/bn_97423221"">Recambios Para Xiaomi Redmi Note 3 Pro para teléfonos móviles Xiaomi</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/M%C3%B3viles-y-smartphones-Xiaomi-Redmi-Note-con-64-GB-de-almacenaje/9355/bn_84599219"">Móviles y smartphones Xiaomi Redmi Note con 64 GB de almacenaje</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/Bater%C3%ADas-para-Xiaomi-Redmi-Note/20357/bn_95000597"">Baterías para Xiaomi Redmi Note</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/Fundas-y-carcasas-Para-Xiaomi-Redmi-Note-6-Pro-para-tel%C3%A9fonos-m%C3%B3viles-y-PDAs-Xiaomi/20349/bn_7114922863"">Fundas y carcasas Para Xiaomi Redmi Note 6 Pro para teléfonos móviles y PDAs Xiaomi</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/Fundas-y-carcasas-para-Xiaomi-Redmi-Note/20349/bn_84590640"">Fundas y carcasas para Xiaomi Redmi Note</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/Protectores-de-pantalla-para-Xiaomi-Redmi-Note/58540/bn_84583760"">Protectores de pantalla para Xiaomi Redmi Note</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/Bater%C3%ADas-para-Xiaomi-Redmi-Note-4/20357/bn_96863083"">Baterías para Xiaomi Redmi Note 4</a>,</li>
				<li><a _sp=""p2047675.m2392"" href=""https://www.ebay.es/b/Fundas-y-carcasas-para-Xiaomi-Redmi-Note/20349/bn_84590876"">Fundas y carcasas para Xiaomi Redmi Note</a></li>
				</ul>",tintasypc,,Movilesytelefonia,,Nuevo,
